Review,Rating,Platform
"Definitely one of the worst sequels I've ever played. I can't for the life of me understand why people even like this game, let alone consider it better than the amazing first title. In stark contrast to the first game's fairly consistent pacing, minimalist story-telling, abundance of loot (and not to mention loot crates containing them), and loads and loads of locations (including multiple large hub levels), this **** sequel has about 1/4 of the loot (loot crates are bewilderingly rare in this game, to the point that I could only find 2 of the more valuable red crates in the whole damn game, compared to dozens being appropriately littered throughout every level in the first game!), much fewer locations (maybe like 2 or 3 hub levels compared to double that in the first), and an attempt at a more cohesive story with more of a pronounced 3 act structure which fails miserably because having voice actors talking directly into your head over the radio the whole damn game is more annoying than anything, especially with the cringe-inducing black comedy direction this game decided to catapult itself into (much like how the MCU firmly committed to being non-stop jokey crap after ""Thor 3""). Just awful. I'll play it co-op with my friends any day, but the sheer chore of starting any new playthrough really discourages me from that anyway. I'd give the first game a solid 9/10, easy. This one is just not much fun outside of very small pockets in co-op, and the lack of any decent loot really makes this a low bar for looter shooters in my opinion. This game almost actively punishes the player with lots of empty levels, poorly paced quests that are much worse on subsequent playthroughs, and an insulting lack of loot that practically spits in the face of sensible game design. Someone please explain to me why people like this game? This should've been getting **** only fans of the first game from jump. Instead, it's yet another sequel that we allowed to push its series into bad habits.",1,XBOX 360
"The game is full of references, black humor and absurd moments.Side questes are often more fun than the main story.",0,XBOX 360
"Very nice shooter, in particular two players split screen it's pure fun! You will spend many time to kill enemies, but also to choose what characteristic of your player you would improve (with 2 different methods: level (big improvement) and token (small but frequent improvement)!. To mention the time you'll spend to find the perfect weapon! Spoiler: you'll never find it ha ha ha!!! Number of bullet, fire frequency, time for reload, damage will always allow you to find a better weapon with games progress. That's a must have with any doubt!",9,XBOX 360
"You know how people say that they play single player instead of multiplayer for a calmer gaming experience? Yeah that's not this game. I have no idea why they couldn't put checkpoints after each mission objective is completed or something. Instead, they leave reloading stations which charge you money every time which is great in theory. But what happens when there's glitches like a door not opening after a bossfight? Well that **** for you cause you have to do the bossfight all over again. Don't get me started on the mission at the Wildlife Exploitation Preserve. I've just finished the fourth bossfight after doing the first three like four times. I redid all the bossfights because the game glitched and decided not to open the doors, making me reload the game, redo the bossfights, finish what was hopefully the last bossfight only for that bossfight to end with the health bar disappearing, the objective not completing and no doors opening. You want a game that will drain the life out of you? Play Borderlands 2",2,XBOX 360
"Very bitter-sweet, similar to BL1. The world is vast and diverse, but exploration is made very dull by omnipresent garbage loot, very few interesting NPCs, and repetitive (and respawning) enemies. Regrettably, the game doesn't do much to engage the player emotionally with its main protagonists either, and it took me almost until the end of the game to actually start to care about them. Still, the world is beautifully designed and combat is reasonably fun, so it wasn't too bad an experience.",6,XBOX 360
"The highest point of the franchise, Borderlands 2 presents so much content that impresses.Your stylized graphics, your fluid gameplay, your acid humor and creative quests make experience a real roller coaster of fun.Play with friends.",9,XBOX 360
"I still don't understand how a game with such insufferable dialogue, that is such a product of it's time that it almost removes the nostalgia for the early 2010's, can give some of the best looter shooter gameplay out there at the same time",9,XBOX 360
"The best game in history, the best villain in history with the best name for a horse",10,XBOX 360
"Note 9.7/10, good secondary missions and great main history!but I feel that something is missing in the game, besides the lack of subtitle in pt br",10,XBOX 360
its just so horribly made. the graphics hurt my eyes. the guns feel horrid to shoot. and the world is empty and boring. stop praising stupid games.,3,XBOX 360
my **** character got corrupted **** you randy fix your **** game!!!!,0,XBOX 360
"Best looter shooter i have played. Its a perfect sequel doubling down on everything, expanding, and improving its systems. Story is solid, handsome jack is a really fun villain and a lot of the characters here are memorable enough, with fun facts, like tina and her lazy eye. The main problem is the lack of acknowledgement of the vault hunter a lot of times when you do something they take the credit, especially in the ending even tho you are really fundamental to everything you are seen as a mere tool, that is also a 4 man army. Gameplay is incredible, sound design isnt the best but aside from that it has really good atributes, incredible gunplay, gun variety and design, that makes you play the game in various aproaches along with lots of enviroments, snow, hills, deserts and wastelands with varying color palette and ageless art style of sobel. Good enemy variety robots, bandits, psychos each with its own unique enemies, goliaths, constructors, drones and badasses, my only gripe is that you might be fighting robots most of the time (main campaign). Soundtrack isnt really memorable there is a couple good ones but nothing that stands out. Classes are really good, varied with a lot of potential and playstyles and techniques to learn. DLC is really good (except hammerlock one). Tons of easter eggs to games movies comics and books. And not only as cheap as 10$ it has a lot of replay value and lot of content. Farming is mostly optional but rewarding AF and satisfactory too. And there is some unintentional techniques that enhances the game like rocket jumping. Some issues are incredibly unbalanced endgame where you really need to know the game to survive, and limits a lot your build potential and makes raid bosses something almost impossible without glitching or cheesing. Characters sometimes can be so broken they are boring. A lot of weapons are unusuable in UVHM. Conection issues from time to time. Lacks a lot of qol stuff that is in 3. A lot of side missions feel unrewarding. Vehicles could be better. Shops and slot machines are interesting but needs better rewards or better probability (shops feel a lot better in TPS). Altough humor is pretty nice a lot of times there is cringe and toilet jokes.",8,XBOX 360
"this is a perfection of the borderlands 1 formula the gameplay is even better It doesn't have character building issues because the trees are so much better balanced every character is very fun to play with and doesn't feel super constricting to one play style and it has the best loot system I have ever seen as well the 360 version is very well optimized for playing with poor Wi-Fi this game has so much flavor and so much heart in it it's unbelievable, just an amazing game something that I would recommend playing through but I will warn the final boss is a little bit of a pushover",9,XBOX 360
BL2 is a super fun looter shooter. It also features one of the best written video game villains ever.,9,XBOX 360
Borderlands 2 is a chaotic experience filled with all kinds of humor that keeps you more engaged as you play more.,8,XBOX 360
Absolute bomb! A must play! I devoured everything from this game. Grab a friend and reek some havoc!,10,XBOX 360
"major QoL gameplay improvements over BL1. Has the best story in the series, and better pacing than BL3, but the gunplay is not satisfying as BL1 or BL3. It's good as a standalone first-time intro to the series, very immersive and arguably the best multiplayer experience too.",9,XBOX 360
- D.A incredible and unique - RPG/Hack'N'Slash Génial - Story engaging with a good touch of humor and seriousness - The beautiful Jack is great - DLC very nice,10,XBOX 360
"The game starts good and with a little bit of funny humor, after that it takes too long to kill with short amount of ammo too much enemies, then repeating, you have to start from places where you already went, you get lost and you lose yourself, the map in this game helps in the beginning but in the middle of the game it's nearly impossible to find your right destination because the places are too huge. I hope that games like this will not be produced again because i already played 10 years before this game came out excellent games like Zelda Ocarina of time that were worth to play.",3,XBOX 360
Good game but completing the game for 3 times to get all levels and content is not for me,8,XBOX 360
"A product of it's time, but in it's time it was like nothing else. Too much time played in smelly basements next too friends to rate it as poorly as its held up.",7,XBOX 360
Mano love this game I have thirty days in it and still play the replay factor of this game and impecáve,10,XBOX 360
The reason why I gave this a seven is because I really wasn’t in to the borderlands games this game was really just not for me,7,XBOX 360
"A boothare shooter of the best, with characters that know how to stand out for their very varied personalities, plenty",9,XBOX 360
Really fun game! Handsome Jack was a funny character and the story was nice.,10,XBOX 360
Fun but very long.,6,XBOX 360
"Borderlands 2, while a solid entry in the series, didn't quite capture my heart the way the first game did. It seemed like the weapon generation system was a bit less refined, resulting in weapons that felt of lower quality and with less attention to detail. Additionally, I remember that the inventory menu was somewhat more complicated compared to the first game, which made item management less straightforward.However, the standout feature of this game is undoubtedly the antagonist, Handsome Jack. He is a villain who's both wicked and incredibly charismatic, adding depth and intrigue to the storyline. Despite my reservations about certain changes, the presence of Handsome Jack and his dynamic character brought a unique and enjoyable element to the game.",8,XBOX 360
Amazing FPS loot game that contains endless fun. Krieg is my baby :3,8,XBOX 360
"If I gave ChatGPT a prompt to generate the most average FPS in existence, it would probably be this. Nothing remarkable, no stakes or real purpose, just shooting up funny bad guys with pretty cool graphics. Probably won't keep your attention too much, but it can be fun.",8,XBOX 360
"Best part of the series. The look is beautiful, the story hilarious and the gameplay nearly perfect. Overall rating: 9.1.",9,XBOX 360
"Graphics are stunning, but controls are clunky.",10,XBOX 360
"While undeniably possessing the strongest levels of writing and characterization among any game in the mainline series, I would humbly argue that BL2 has some of the least engaging mechanics and gameplay. If you play this game, it will likely be Handsome Jack (as well as some of the other characters) that keeps you hooked. However, this is not to say that the gameplay on offer is not strong - much of what was on offer in BL1 is still here, but some of its novelty is lost, and I personally saw the removal of some of the more niche RPG mechanics (such as levelling up proficiencies with specific gun types) as a negative. Most people see BL2 as the best game in the franchise, and while I may not personally agree with this opinion, the game is still a great one that 100% deserves to stand alongside the other games in the series, especially due to its strong narrative.",8,XBOX 360
This is the greatest video game of all time. Handsome Jack is the greatest villain in video game history only rivaled by Vaas.,10,XBOX 360
"Good game. Various quests and good jokes. My only problem with this franchise overall is that characters only have one skill and your progression is only through guns and passives. I dont have any reason to replay the game with another class, because in the end, its just shoot with your weapon and sometimes use your ability.",6,XBOX 360
"Amazing game, every inch of this game is covered in bloody fun from beginning to end. The enemies and bosses combined with the loot grinding never gets old and feels so satisfying when you get an insanely fun drop that changes the way you do combat in the game. The loot in this game is ridiculously diverse and allows so much re-playability along with the six different and unique vault hunters you can use, not to mention being able to switch any weapon from one character to another you have. The story and characters are all done perfectly with a plethora of different takes from comedy to adventure to mystery to suspense to emotional loss to badassery and so much more. The unique world and all its designs give it a less dungeon feel and make it seem all most like an open world. Honestly this game has everything a looter shooter lover could ever want, it sits at number 2 on my list for best games ever played.",10,XBOX 360
"It was an amazing improvement from the first part! Also, all the DLC were totally worth it, amazing main and side stories. I really enjoyed hating Handsome Jack",8,XBOX 360
An improvement over the original. This is one of those bigger and better sequels. A must-play for fans of cooperative shooters. It ranks up with Dishonored and Far Cry 3 as one of 2009's best action games. I would rate Borderlands 2 with a 9 out of 10.,9,XBOX 360
"Everything the first one had to offer but better! Great story with one of the protagonist (the character I actually chose in part 1), being the leader now.",9,XBOX 360
